id,'checking_status','duration','credit_history','purpose','credit_amount','savings_status','employment','installment_commitment','personal_status','other_parties','residence_since','property_magnitude','age','other_payment_plans','housing','existing_credits','job','num_dependents','own_telephone','foreign_worker','class'
LON28,>=200,12,all paid,radio/tv,44990,"1,00000 or Above",1<=X<4,3,female div/dep/mar,none,3,real estate,42,none,rent,2,skilled,1,none,yes,good
LON29,0<=X<200,7,existing paid,radio/tv,265650,Less than 10000,1<=X<4,3,male single,guarantor,2,real estate,34,none,own,1,skilled,1,none,yes,good
LON30,<0,60,delayed previously,business,751960,Less than 10000,>=7,3,male single,none,4,no known property,63,none,own,2,skilled,1,yes,yes,bad
LON31,0<=X<200,18,existing paid,business,210430,"1,00000 or Above",<1,3,male mar/wid,none,3,real estate,36,bank,own,1,skilled,1,yes,yes,good
LON32,<0,24,existing paid,furniture/equipment,442200,Less than 10000,1<=X<4,2,male single,none,2,car,27,stores,own,1,skilled,1,none,yes,good
LON33,0<=X<200,18,existing paid,new car,645260,10000 - 49999,1<=X<4,2,male single,none,2,car,30,none,own,2,skilled,1,yes,yes,good
LON34,no checking,12,critical/other existing credit,business,139040,No Savings,>=7,4,male single,none,4,no known property,57,none,rent,1,unskilled resident,1,none,yes,good
LON35,>=200,12,existing paid,furniture/equipment,162140,Less than 10000,<1,4,female div/dep/mar,none,1,life insurance,33,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,good
LON36,0<=X<200,45,critical/other existing credit,radio/tv,522060,Less than 10000,<1,4,male single,none,2,life insurance,25,none,own,2,unskilled resident,1,none,yes,bad
LON37,no checking,48,critical/other existing credit,education,672100,Less than 10000,1<=X<4,1,male single,none,3,no known property,31,bank,for free,1,skilled,1,yes,yes,good
LON38,>=200,18,existing paid,radio/tv,231000,Less than 10000,1<=X<4,4,male single,co applicant,2,real estate,37,stores,own,1,skilled,1,none,yes,bad
LON39,>=200,10,existing paid,domestic appliance,134750,Less than 10000,1<=X<4,2,male single,none,2,car,37,none,own,1,skilled,1,yes,yes,good
LON40,0<=X<200,9,existing paid,radio/tv,50380,Less than 10000,1<=X<4,4,male single,none,3,real estate,24,none,own,1,skilled,1,none,yes,good
LON41,no checking,30,existing paid,radio/tv,256630,50000 - 99999,>=7,4,male single,none,2,car,30,bank,own,1,high qualif/self emp/mgmt,1,none,yes,good
LON42,0<=X<200,12,existing paid,radio/tv,127380,50000 - 99999,1<=X<4,3,male div/sep,none,1,car,26,none,own,1,skilled,1,yes,yes,good
LON43,0<=X<200,18,delayed previously,repairs,682440,Less than 10000,1<=X<4,2,male single,none,4,real estate,44,none,own,1,unskilled resident,2,yes,yes,good
LON44,<0,30,critical/other existing credit,used car,680570,10000 - 49999,4<=X<7,1,male mar/wid,none,4,car,24,none,rent,2,skilled,1,none,yes,good
LON45,<0,48,critical/other existing credit,used car,675730,Less than 10000,>=7,4,female div/dep/mar,none,4,no known property,58,stores,for free,2,unskilled resident,1,none,yes,bad
LON46,no checking,11,critical/other existing credit,new car,153230,Less than 10000,<1,4,female div/dep/mar,none,4,car,35,none,own,2,high qualif/self emp/mgmt,1,none,yes,good
LON47,no checking,36,existing paid,radio/tv,252890,50000 - 99999,>=7,4,male single,none,4,car,39,none,own,1,skilled,1,none,yes,good
LON48,<0,6,existing paid,used car,148720,50000 - 99999,unemployed,1,female div/dep/mar,none,2,life insurance,23,none,rent,1,unemp/unskilled non res,1,yes,yes,good
LON49,no checking,11,critical/other existing credit,new car,795080,Less than 10000,1<=X<4,1,male single,none,4,life insurance,39,none,own,2,unskilled resident,1,none,yes,good
LON50,no checking,12,existing paid,radio/tv,228030,10000 - 49999,1<=X<4,4,female div/dep/mar,co applicant,2,real estate,28,none,own,1,skilled,1,none,yes,good
LON51,0<=X<200,24,delayed previously,furniture/equipment,256630,No Savings,<1,4,male single,none,2,life insurance,29,bank,own,1,unskilled resident,1,none,yes,good
LON52,0<=X<200,27,delayed previously,used car,656150,Less than 10000,>=7,1,male single,none,2,car,30,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
LON53,no checking,12,existing paid,radio/tv,138820,Less than 10000,1<=X<4,3,male single,none,2,car,25,none,own,1,skilled,1,none,yes,good
LON54,no checking,18,existing paid,used car,371580,No Savings,1<=X<4,2,male single,none,1,life insurance,31,none,own,1,skilled,1,yes,yes,good
LON55,0<=X<200,36,delayed previously,new car,244750,Less than 10000,>=7,4,male single,none,4,no known property,57,bank,for free,2,skilled,1,yes,yes,bad
LON56,no checking,6,all paid,new car,86130,No Savings,1<=X<4,1,male single,guarantor,2,real estate,26,stores,own,1,unskilled resident,2,none,yes,good
LON57,0<=X<200,12,existing paid,radio/tv,711480,No Savings,unemployed,2,male single,none,1,no known property,52,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
LON58,no checking,36,critical/other existing credit,radio/tv,1052260,Less than 10000,1<=X<4,2,female div/dep/mar,none,2,car,31,stores,own,2,skilled,1,none,yes,good
LON59,>=200,18,existing paid,new car,215710,Less than 10000,>=7,3,female div/dep/mar,none,2,car,23,none,own,1,high qualif/self emp/mgmt,1,none,yes,good
LON60,<0,36,critical/other existing credit,furniture/equipment,685190,Less than 10000,<1,4,female div/dep/mar,co applicant,4,no known property,23,none,rent,2,unskilled resident,1,yes,yes,bad
LON61,0<=X<200,9,existing paid,business,153010,Less than 10000,1<=X<4,2,male mar/wid,none,1,real estate,27,bank,own,1,skilled,1,yes,yes,good
LON62,0<=X<200,15,critical/other existing credit,radio/tv,169070,No Savings,>=7,4,male single,guarantor,4,real estate,50,none,own,2,skilled,1,yes,yes,good
LON63,0<=X<200,36,no credits/all paid,business,214830,Less than 10000,>=7,4,male single,none,4,no known property,61,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
LON64,0<=X<200,48,no credits/all paid,business,1586310,Less than 10000,1<=X<4,2,male single,none,2,car,25,none,own,1,skilled,1,yes,yes,bad
LON65,no checking,24,existing paid,radio/tv,349910,Less than 10000,<1,4,female div/dep/mar,none,4,life insurance,26,none,own,1,skilled,1,yes,yes,good
LON66,no checking,27,existing paid,repairs,570900,No Savings,>=7,4,male single,none,4,life insurance,48,none,own,4,skilled,2,yes,yes,good
LON67,no checking,12,existing paid,radio/tv,238810,Less than 10000,<1,2,female div/dep/mar,none,2,car,29,bank,own,1,skilled,1,none,yes,good
LON68,0<=X<200,12,existing paid,new car,110770,"1,00000 or Above",1<=X<4,4,male mar/wid,none,1,real estate,22,none,own,1,skilled,1,none,yes,good
LON69,no checking,36,existing paid,education,200090,Less than 10000,1<=X<4,4,male single,none,4,no known property,37,stores,for free,1,skilled,1,yes,yes,bad
LON70,no checking,36,existing paid,radio/tv,263340,No Savings,1<=X<4,4,female div/dep/mar,none,4,car,25,none,own,1,skilled,1,none,yes,good
LON71,no checking,36,existing paid,used car,894630,Less than 10000,1<=X<4,1,female div/dep/mar,none,2,life insurance,30,bank,own,1,skilled,1,none,yes,good
LON72,no checking,7,critical/other existing credit,radio/tv,80300,No Savings,>=7,4,male single,none,2,life insurance,46,none,rent,2,unskilled resident,1,yes,yes,good
LON73,<0,8,critical/other existing credit,other,128040,Less than 10000,>=7,3,male single,none,4,no known property,51,bank,for free,2,high qualif/self emp/mgmt,2,yes,yes,good
LON74,0<=X<200,42,critical/other existing credit,business,654940,Less than 10000,4<=X<7,2,female div/dep/mar,none,1,real estate,41,bank,own,2,unskilled resident,1,none,yes,good
LON75,<0,36,existing paid,education,217470,No Savings,>=7,4,male single,none,4,no known property,40,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
LON76,<0,12,critical/other existing credit,used car,167860,Less than 10000,>=7,4,male single,none,4,no known property,66,none,for free,2,high qualif/self emp/mgmt,1,none,yes,good
LON77,<0,42,existing paid,radio/tv,436150,Less than 10000,<1,4,male single,none,3,car,34,none,own,1,skilled,1,none,yes,bad
LON78,0<=X<200,11,delayed previously,radio/tv,524810,Less than 10000,4<=X<7,2,male single,none,4,life insurance,51,none,own,1,skilled,1,none,yes,good
LON79,no checking,54,no credits/all paid,used car,1037960,No Savings,1<=X<4,2,male single,none,2,life insurance,39,none,own,1,unskilled resident,2,none,yes,good
LON80,0<=X<200,30,existing paid,furniture/equipment,421520,Less than 10000,<1,2,male mar/wid,none,1,life insurance,22,none,own,1,skilled,1,none,yes,good
LON81,no checking,24,existing paid,radio/tv,653730,No Savings,<1,1,female div/dep/mar,none,1,car,44,none,own,2,skilled,1,yes,yes,bad
LON82,no checking,15,existing paid,radio/tv,133430,50000 - 99999,>=7,4,male single,none,3,life insurance,47,stores,own,1,skilled,1,yes,yes,good
LON83,no checking,18,existing paid,business,172480,10000 - 49999,1<=X<4,3,female div/dep/mar,none,4,life insurance,24,none,rent,1,unskilled resident,1,none,yes,good
LON84,<0,24,existing paid,other,193050,Less than 10000,>=7,4,female div/dep/mar,guarantor,4,real estate,58,none,own,1,unskilled resident,1,yes,yes,good
LON85,<0,10,existing paid,radio/tv,254650,Less than 10000,>=7,3,male single,none,4,real estate,52,none,own,1,unskilled resident,1,none,yes,good
LON86,no checking,12,critical/other existing credit,business,155320,Less than 10000,1<=X<4,4,female div/dep/mar,guarantor,2,real estate,29,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
LON87,0<=X<200,18,critical/other existing credit,furniture/equipment,142450,Less than 10000,<1,4,female div/dep/mar,none,1,life insurance,27,none,own,2,skilled,1,none,yes,good
LON88,0<=X<200,36,existing paid,education,1387320,10000 - 49999,1<=X<4,1,male single,none,4,no known property,47,none,for free,1,skilled,2,yes,yes,bad
LON89,<0,18,existing paid,new car,247390,10000 - 49999,4<=X<7,4,male single,none,3,car,30,none,own,1,high qualif/self emp/mgmt,2,yes,yes,good
LON90,<0,12,no credits/all paid,repairs,121880,Less than 10000,4<=X<7,4,male single,none,3,real estate,28,none,own,2,skilled,1,none,yes,bad
LON91,no checking,12,critical/other existing credit,radio/tv,67980,Less than 10000,>=7,4,male single,none,4,real estate,56,none,own,1,skilled,1,none,yes,good
LON92,<0,12,critical/other existing credit,used car,154990,Less than 10000,>=7,4,male single,none,3,real estate,54,none,own,1,skilled,1,none,yes,good
LON93,no checking,12,critical/other existing credit,radio/tv,87670,No Savings,>=7,4,female div/dep/mar,none,3,life insurance,33,bank,own,1,unskilled resident,2,none,yes,bad
LON94,>=200,24,critical/other existing credit,furniture/equipment,397870,No Savings,>=7,4,male single,co applicant,4,no known property,20,none,rent,2,skilled,1,none,yes,good
LON95,0<=X<200,12,existing paid,new car,144980,"1,00000 or Above",>=7,4,male single,none,4,real estate,54,none,own,1,skilled,1,yes,yes,good
LON96,0<=X<200,54,no credits/all paid,business,1753950,Less than 10000,<1,3,male single,none,4,no known property,58,none,rent,1,skilled,1,yes,yes,bad
LON97,no checking,12,critical/other existing credit,education,221320,No Savings,4<=X<7,4,female div/dep/mar,none,2,car,61,none,own,1,skilled,1,none,yes,good
LON98,0<=X<200,18,existing paid,business,288420,10000 - 49999,1<=X<4,4,male single,none,4,car,34,none,own,1,skilled,1,none,yes,good
LON99,0<=X<200,36,critical/other existing credit,radio/tv,257070,Less than 10000,>=7,4,male single,none,4,real estate,36,none,own,1,skilled,1,none,yes,good
LON100,0<=X<200,20,delayed previously,used car,776270,No Savings,4<=X<7,3,male single,none,4,life insurance,36,bank,rent,2,high qualif/self emp/mgmt,2,yes,yes,good
LON101,no checking,24,existing paid,new car,161590,10000 - 49999,>=7,4,male mar/wid,none,4,real estate,41,none,rent,1,unskilled resident,1,none,yes,good
LON102,0<=X<200,36,existing paid,radio/tv,255530,Less than 10000,4<=X<7,4,male single,none,4,car,24,none,rent,1,skilled,1,none,yes,good
LON103,no checking,6,delayed previously,radio/tv,102520,Less than 10000,1<=X<4,3,female div/dep/mar,none,2,real estate,24,none,own,1,skilled,1,none,yes,good
LON104,0<=X<200,9,critical/other existing credit,furniture/equipment,211090,Less than 10000,4<=X<7,4,male single,none,3,car,35,none,rent,1,skilled,1,yes,yes,good
LON105,no checking,12,existing paid,used car,268950,No Savings,<1,2,male mar/wid,none,4,car,26,none,rent,1,skilled,1,yes,yes,good
LON106,0<=X<200,24,critical/other existing credit,other,1313180,Less than 10000,1<=X<4,2,male single,co applicant,3,car,39,none,own,2,high qualif/self emp/mgmt,2,yes,yes,bad
LON107,no checking,18,all paid,new car,710380,Less than 10000,>=7,2,male single,none,4,no known property,39,bank,own,2,high qualif/self emp/mgmt,2,yes,yes,bad
LON108,0<=X<200,12,existing paid,new car,668580,Less than 10000,4<=X<7,2,male single,none,2,car,32,none,own,1,skilled,1,none,yes,good
LON109,<0,24,existing paid,furniture/equipment,849310,No Savings,<1,1,female div/dep/mar,none,2,life insurance,30,none,own,1,skilled,1,yes,no,good
LON110,0<=X<200,14,existing paid,business,155100,50000 - 99999,>=7,1,male mar/wid,none,2,real estate,35,none,own,1,skilled,1,yes,yes,good
LON111,0<=X<200,6,delayed previously,business,159390,10000 - 49999,>=7,1,male div/sep,none,2,car,31,bank,own,2,skilled,2,none,yes,good
LON112,>=200,15,existing paid,education,43120,Less than 10000,<1,4,female div/dep/mar,none,4,life insurance,23,none,rent,1,skilled,1,yes,yes,good
LON113,0<=X<200,18,existing paid,new car,688600,Less than 10000,4<=X<7,3,male single,none,3,real estate,28,none,rent,1,unskilled resident,1,none,yes,good
LON114,no checking,36,critical/other existing credit,new car,864050,Less than 10000,1<=X<4,4,female div/dep/mar,none,2,real estate,25,stores,own,2,skilled,1,yes,yes,bad
LON115,<0,12,existing paid,radio/tv,184800,50000 - 99999,>=7,3,male mar/wid,none,1,real estate,35,none,own,1,skilled,1,none,yes,good
LON116,no checking,48,critical/other existing credit,radio/tv,393580,No Savings,>=7,4,male single,none,1,real estate,47,none,own,1,skilled,1,yes,yes,good
LON117,<0,42,existing paid,radio/tv,789140,No Savings,4<=X<7,4,female div/dep/mar,none,3,car,30,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
LON118,<0,10,critical/other existing credit,furniture/equipment,234520,No Savings,<1,2,female div/dep/mar,co applicant,3,real estate,27,none,rent,2,skilled,1,none,no,good
LON119,<0,33,critical/other existing credit,furniture/equipment,470910,50000 - 99999,1<=X<4,1,female div/dep/mar,none,4,car,23,none,own,2,skilled,1,none,yes,bad
LON120,0<=X<200,12,critical/other existing credit,new car,260260,50000 - 99999,4<=X<7,3,male div/sep,none,3,car,36,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
LON121,<0,21,existing paid,radio/tv,201850,Less than 10000,1<=X<4,3,female div/dep/mar,none,2,real estate,25,none,own,2,skilled,1,yes,yes,bad
LON122,no checking,24,critical/other existing credit,used car,425480,Less than 10000,>=7,4,female div/dep/mar,none,2,car,41,none,rent,2,high qualif/self emp/mgmt,1,yes,yes,good
LON123,no checking,12,existing paid,furniture/equipment,194480,Less than 10000,1<=X<4,3,male single,none,2,real estate,24,none,rent,1,unskilled resident,1,none,yes,good
LON124,>=200,10,critical/other existing credit,new car,85910,Less than 10000,>=7,4,male single,none,4,no known property,63,none,for free,2,skilled,1,yes,yes,good
LON125,0<=X<200,18,existing paid,furniture/equipment,211640,No Savings,<1,4,female div/dep/mar,none,3,real estate,27,none,rent,1,skilled,1,none,yes,bad
LON126,<0,12,critical/other existing credit,new car,233310,Less than 10000,1<=X<4,4,male single,none,2,life insurance,30,none,own,2,skilled,1,none,yes,good
LON127,<0,12,existing paid,radio/tv,77110,Less than 10000,1<=X<4,4,male mar/wid,none,2,real estate,40,none,own,1,unskilled resident,1,none,yes,good
LON128,0<=X<200,12,existing paid,repairs,70290,Less than 10000,1<=X<4,4,male single,none,2,car,30,none,own,1,skilled,1,none,yes,bad
LON129,0<=X<200,12,critical/other existing credit,used car,204600,Less than 10000,unemployed,4,male single,none,2,car,34,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
LON130,<0,12,critical/other existing credit,new car,384890,Less than 10000,1<=X<4,3,female div/dep/mar,co applicant,2,real estate,29,none,own,2,skilled,1,none,yes,bad
LON131,0<=X<200,48,existing paid,new car,933570,No Savings,4<=X<7,1,female div/dep/mar,none,2,car,24,none,own,1,skilled,1,none,yes,good
LON132,<0,36,delayed previously,education,757570,Less than 10000,1<=X<4,4,male single,none,3,life insurance,29,stores,own,1,skilled,1,yes,yes,bad
LON133,no checking,15,existing paid,furniture/equipment,297880,Less than 10000,<1,2,male single,none,3,life insurance,27,bank,own,2,unskilled resident,1,none,yes,good
LON134,no checking,18,existing paid,furniture/equipment,218240,Less than 10000,1<=X<4,4,male single,none,4,no known property,47,bank,for free,2,skilled,1,none,yes,good
LON135,no checking,60,existing paid,radio/tv,1115840,10000 - 49999,4<=X<7,2,female div/dep/mar,none,4,real estate,21,none,own,1,skilled,1,yes,yes,good
LON136,no checking,12,critical/other existing credit,radio/tv,136400,No Savings,>=7,4,female div/dep/mar,none,2,real estate,38,none,own,2,skilled,1,yes,yes,good
LON137,no checking,27,delayed previously,used car,947430,"1,00000 or Above",1<=X<4,2,male single,none,2,car,27,none,own,2,skilled,1,none,yes,good
LON138,0<=X<200,12,existing paid,radio/tv,84260,50000 - 99999,1<=X<4,4,male single,none,3,real estate,66,none,own,1,unskilled resident,1,none,yes,bad
LON139,0<=X<200,15,critical/other existing credit,radio/tv,300080,No Savings,4<=X<7,4,male single,guarantor,2,real estate,35,bank,own,3,skilled,1,yes,yes,good
LON140,>=200,12,existing paid,radio/tv,206910,Less than 10000,1<=X<4,2,female div/dep/mar,none,2,car,44,none,rent,1,unskilled resident,1,yes,yes,good
LON141,>=200,6,existing paid,new car,77990,"1,00000 or Above",<1,2,male mar/wid,none,2,real estate,27,none,own,1,unemp/unskilled non res,1,none,no,good
LON142,0<=X<200,36,existing paid,radio/tv,527450,Less than 10000,<1,4,female div/dep/mar,none,1,no known property,30,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
LON143,<0,27,existing paid,radio/tv,375760,Less than 10000,1<=X<4,3,male single,none,2,car,27,none,own,1,high qualif/self emp/mgmt,1,none,yes,good
LON144,<0,18,existing paid,furniture/equipment,270820,Less than 10000,1<=X<4,2,male single,none,2,car,22,none,own,1,skilled,1,none,yes,bad
LON145,no checking,21,critical/other existing credit,furniture/equipment,251680,Less than 10000,<1,4,female div/dep/mar,none,4,life insurance,23,none,own,1,skilled,1,yes,yes,good
LON146,0<=X<200,48,all paid,business,392260,10000 - 49999,4<=X<7,4,male single,none,2,car,30,none,own,1,skilled,1,none,yes,good
LON147,<0,6,critical/other existing credit,new car,94600,Less than 10000,>=7,1,female div/dep/mar,none,4,no known property,39,none,own,2,skilled,1,yes,yes,good
LON148,no checking,12,critical/other existing credit,new car,75020,10000 - 49999,4<=X<7,4,female div/dep/mar,none,3,car,51,none,own,2,skilled,1,yes,yes,good
LON149,<0,36,critical/other existing credit,furniture/equipment,590810,Less than 10000,1<=X<4,3,male single,guarantor,2,life insurance,28,none,own,2,skilled,1,none,yes,good
LON150,no checking,18,critical/other existing credit,radio/tv,174020,"1,00000 or Above",>=7,4,male single,none,4,car,46,none,own,2,skilled,1,none,yes,good
LON151,no checking,6,existing paid,radio/tv,148060,10000 - 49999,>=7,2,male single,none,4,no known property,42,bank,for free,1,skilled,2,yes,yes,good
LON152,no checking,10,existing paid,radio/tv,211640,Less than 10000,1<=X<4,1,male single,none,4,life insurance,38,none,own,1,skilled,1,yes,no,good
LON153,>=200,36,existing paid,radio/tv,643280,Less than 10000,1<=X<4,4,male single,none,1,car,24,none,own,1,skilled,1,none,yes,good
LON154,0<=X<200,24,critical/other existing credit,used car,853380,"1,00000 or Above",>=7,2,female div/dep/mar,none,4,no known property,29,none,rent,1,skilled,1,none,yes,good
LON155,0<=X<200,24,delayed previously,business,766370,10000 - 49999,4<=X<7,4,male single,none,4,car,36,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
LON156,<0,12,existing paid,furniture/equipment,141020,Less than 10000,1<=X<4,2,female div/dep/mar,none,4,car,20,none,rent,1,skilled,1,none,yes,bad
LON157,<0,9,critical/other existing credit,repairs,141680,10000 - 49999,>=7,3,male single,guarantor,4,real estate,48,none,own,2,skilled,2,none,no,good
LON158,<0,12,all paid,retraining,37290,Less than 10000,>=7,4,male mar/wid,none,1,car,45,bank,own,1,unskilled resident,1,none,yes,good
LON159,0<=X<200,24,existing paid,new car,386320,10000 - 49999,4<=X<7,2,male single,none,3,car,38,bank,own,2,skilled,1,yes,yes,good
LON160,no checking,6,critical/other existing credit,radio/tv,208780,No Savings,1<=X<4,1,male single,none,2,real estate,34,none,own,2,unskilled resident,2,none,yes,good
LON161,no checking,24,critical/other existing credit,radio/tv,315920,10000 - 49999,>=7,3,male single,none,4,real estate,36,none,own,1,skilled,2,yes,yes,good
LON162,no checking,18,critical/other existing credit,new car,116050,Less than 10000,<1,4,female div/dep/mar,none,1,life insurance,30,none,own,2,skilled,1,none,yes,good
LON163,no checking,15,existing paid,domestic appliance,138820,50000 - 99999,4<=X<7,4,male single,none,3,life insurance,36,none,own,2,skilled,1,yes,yes,good
LON164,0<=X<200,10,existing paid,new car,803880,Less than 10000,unemployed,2,male single,none,4,no known property,70,bank,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
LON165,no checking,36,existing paid,new car,99990,50000 - 99999,>=7,4,male single,none,4,life insurance,36,none,own,1,skilled,1,none,yes,good
LON166,no checking,6,existing paid,furniture/equipment,327580,50000 - 99999,1<=X<4,1,male single,none,2,car,32,none,own,1,skilled,1,yes,yes,good
LON167,<0,18,existing paid,furniture/equipment,124410,Less than 10000,unemployed,4,female div/dep/mar,none,2,car,33,none,own,1,skilled,1,none,yes,bad
LON168,0<=X<200,11,existing paid,furniture/equipment,173470,"1,00000 or Above",<1,4,female div/dep/mar,none,1,real estate,20,none,own,1,skilled,1,none,yes,good
LON169,no checking,24,existing paid,furniture/equipment,436920,Less than 10000,4<=X<7,2,female div/dep/mar,none,4,life insurance,25,none,rent,1,skilled,1,yes,yes,good
LON170,0<=X<200,24,critical/other existing credit,business,212850,Less than 10000,>=7,4,male div/sep,none,4,real estate,31,none,own,2,skilled,1,yes,yes,bad
LON171,<0,15,no credits/all paid,new car,104500,Less than 10000,>=7,4,male single,none,3,car,33,none,rent,2,skilled,2,none,yes,bad
LON172,no checking,12,existing paid,furniture/equipment,83930,Less than 10000,1<=X<4,4,female div/dep/mar,none,1,real estate,26,none,own,1,skilled,1,yes,yes,good
LON173,0<=X<200,24,delayed previously,furniture/equipment,227040,Less than 10000,unemployed,3,female div/dep/mar,none,2,life insurance,34,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
LON174,0<=X<200,8,existing paid,radio/tv,155540,Less than 10000,1<=X<4,4,male single,guarantor,2,real estate,33,none,own,1,skilled,1,none,no,good
LON175,<0,21,delayed previously,education,375540,Less than 10000,<1,2,male single,none,1,life insurance,26,none,own,2,skilled,1,none,yes,bad
LON176,no checking,30,all paid,used car,823350,No Savings,unemployed,4,female div/dep/mar,none,1,real estate,53,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
LON177,<0,12,existing paid,furniture/equipment,283470,Less than 10000,1<=X<4,2,male div/sep,none,1,car,42,none,own,1,skilled,1,none,yes,good
LON178,<0,6,critical/other existing credit,radio/tv,37180,50000 - 99999,>=7,4,male single,none,4,car,52,none,own,2,skilled,1,none,yes,good
LON179,no checking,12,existing paid,radio/tv,215930,Less than 10000,4<=X<7,4,male single,none,2,car,31,none,rent,2,high qualif/self emp/mgmt,2,yes,yes,good
